;date;model;year;ram;memory;touchbar;m1;cpu;url;Vidělo:;Cena:
0;14.12. 2021;Air;2020;;;;True;;https://pc.bazos.cz/inzerat/145766554/macbook-air-2020-m1.php;166;21000
0;17.12. 2021;Air;2021;8;256;;True;;https://pc.bazos.cz/inzerat/145679330/apple-macbook-air-m1-v-zaruce-14-mesicu.php;341;22000
0;17.12. 2021;Air;2020;8;{'512', '1', '256'};;True;;https://pc.bazos.cz/inzerat/145834928/apple-macbook-air-13-retina-m1-2020-silver.php;90;22500
0;13.12. 2021;Air;;8;256;;True;;https://pc.bazos.cz/inzerat/145747351/macbook-air-13-m1-8gb-256gb-silver-novy-zaruka.php;109;22990
0;13.12. 2021;Air;;8;256;;True;;https://pc.bazos.cz/inzerat/145747294/macbook-air-13-m1-8gb-256gb-space-grey-novy-zaruka.php;94;22990
0;6.12. 2021;Air;2020;;;;True;;https://pc.bazos.cz/inzerat/145432930/macbook-air-2020-na-cipu-m1-space-gray.php;188;24000
0;17.12. 2021;Air;2019;8;256;;True;;https://pc.bazos.cz/inzerat/145081563/13-apple-macbook-air-i5-16ghz-retina-zaruka-1rok-model-2019.php;767;24980
