;date;model;year;ram;memory;touchbar;m1;cpu;url;Vidělo:;Cena:
0;11.12. 2021;Air;2015;8;256;;False;{3.0, 1.3, 2.2, 3.5};https://pc.bazos.cz/inzerat/145646612/macbook-air-133-2015-i7-22ghz-ssd-256gb-8gb-ram.php;40;17600
0;5.12. 2021;Pro;2017;8;256;;False;;https://pc.bazos.cz/inzerat/145379404/zpet-na-vypis-macbook-pro-2017-i5-8gb-ram-256-gb-ssd.php;61;17900
0;15.12. 2021;Pro;{'2016', '2017', '2019', '2018'};8;256;;False;{2.0, 4.0};https://pc.bazos.cz/inzerat/145719231/13-apple-macbook-pro-i5-20ghz-retina-zaruka-spaceg-256gb.php;64;17980
0;3.12. 2021;Pro;{'2016', '2017', '2019', '2018'};8;256;;False;{2.0, 4.0};https://pc.bazos.cz/inzerat/144431239/13-apple-macbook-pro-i5-20ghz-retina-spaceg-zaruka-256gb.php;360;17980
0;15.12. 2021;Pro;{'2016', '2017', '2019', '2018'};8;256;;False;{2.0, 4.0};https://pc.bazos.cz/inzerat/145080850/13-apple-macbook-pro-i5-20ghz-retina-zaruka-256gb-spaceg.php;381;17980
0;11.12. 2021;Pro;2017;8;256;;False;1.2;https://pc.bazos.cz/inzerat/145642521/macbook-12-posledni-model-256gb-hdd-nova-klavesnice.php;44;18000
0;15.12. 2021;Pro;2016;8;256;touchbar;False;2.9;https://pc.bazos.cz/inzerat/145785934/macbook-pro-13-2016-touchbar-nova-baterie-sg.php;47;18000
0;30.11. 2021;Air;2019;;;;False;;https://elektro.bazos.cz/inzerat/145149323/macbook-air-13inch-2019.php;31;18000
0;7.12. 2021;Air;2020;8;512;;False;{1.1, 3.5};https://pc.bazos.cz/inzerat/145443341/prodavam-macbook-air-133.php;117;18000
0;12.12. 2021;Pro;2017;16;512;touch bar;False;2.8;https://pc.bazos.cz/inzerat/145700450/apple-macbook-pro-15-i7-16gb-512gb-touch-bar-2017.php;51;18000
0;13.12. 2021;Air;2020;;;;False;;https://pc.bazos.cz/inzerat/145720613/macbook-air-2020-v-zaruce-zlata-barva-stav-novy-1a.php;29;18000
0;1.12. 2021;Pro;2017;;;;False;2.3;https://pc.bazos.cz/inzerat/143225509/apple-macbook-pro-13-2017-core-i5.php;133;18000
0;14.12. 2021;Pro;2013;16;;;False;;https://pc.bazos.cz/inzerat/145772824/prodam-macbook-pro-retina-15-inch-early-2013i7.php;17;18000
0;4.12. 2021;Pro;2013;16;512;;False;2.7;https://pc.bazos.cz/inzerat/145014217/macbook-pro-15-retina-i7-2013-16gb-ram-512gb-ssd.php;107;18000
0;10.12. 2021;Air;2017;8;512;;False;{1.8, 2.9};https://pc.bazos.cz/inzerat/145578444/macbook-air-13-2017-silver.php;23;18499
0;14.12. 2021;Pro;2015;16;256;;False;2.7;https://pc.bazos.cz/inzerat/145775779/macbook-pro-13-retinai52015-16gb-ram-256gb-ssd-zaruka.php;17;18800
0;3.12. 2021;Air;2019;8;128;;False;{1.6, 4.0, 1.0};https://pc.bazos.cz/inzerat/144431686/13-apple-macbook-air-i5-16ghz-retina-model-2019-zaruka-1rok.php;354;18980
0;13.12. 2021;Air;;;;;False;;https://nabytek.bazos.cz/inzerat/145288924/zavesne-svetlo-luceplan-queen-titania-vyjimecna-prilezitos.php;90;18990
0;7.12. 2021;Pro;2016;8;256;;False;;https://pc.bazos.cz/inzerat/145446077/macbook-pro-13-retina-8gb-256gb-2016.php;31;18990
0;15.12. 2021;Air;2020;8;512;;False;1.1;https://pc.bazos.cz/inzerat/145785911/macbook-air-13-retina-2020-8gb-ram-512gb-ssd.php;123;18990
0;12.12. 2021;Pro;2016;16;512;;False;2.7;https://pc.bazos.cz/inzerat/143322302/macbook-pro-15-2016.php;410;19000
0;3.12. 2021;Pro;2017;;128;;False;;https://pc.bazos.cz/inzerat/145254268/macbook-pro-128gb-2017.php;87;19000
0;15.12. 2021;Pro;2017;8;256;touch bar;False;3.1;https://pc.bazos.cz/inzerat/145626493/macbook-pro-13-2017-s-touch-bar-256-gb-ssd-super-cena.php;85;19000
0;4.12. 2021;Pro;2019;8;256;;False;1.4;https://pc.bazos.cz/inzerat/145298517/apple-macbook-pro-13-2019-i5-8gb-256gb-zaruka.php;83;19000
0;29.11. 2021;Pro;2016;8;128;;False;{2.0, 3.1};https://pc.bazos.cz/inzerat/145080715/macbook-pro-13-2016-space-gray.php;39;19699
0;13.12. 2021;Pro;2018;8;256;touchbar;False;2.3;https://pc.bazos.cz/inzerat/145732967/prodam-macbook-pro-13-2018-touchbar.php;29;19900
0;15.12. 2021;Pro;2017;8;1;;False;{3.0, 4.0};https://pc.bazos.cz/inzerat/145719350/cto-21-apple-imac-i5-30ghz-4k-retina-2017-upgrade-zaruka.php;94;19980
0;3.12. 2021;Pro;2015;16;{'256', '1', '128', '512'};;False;{2.2, 4.0};https://pc.bazos.cz/inzerat/144431594/15-apple-macbook-pro-i7-22ghz-retina-2015-zaruka-ram-16gb.php;242;19980
0;15.12. 2021;Pro;2017;{'16', '8'};1;;False;{3.0, 4.0};https://pc.bazos.cz/inzerat/145080729/cto-21-apple-imac-i5-30ghz-4k-retina-zaruka-2017-upgrade.php;266;19980
0;15.12. 2021;Pro;2015;16;{'256', '1', '128', '512'};;False;{2.2, 4.0};https://pc.bazos.cz/inzerat/145081290/15-apple-macbook-pro-i7-22ghz-retina-2015-ram-16gb-zaruka.php;223;19980
0;10.12. 2021;Pro;2016;8;1;touch bar;False;2.9;https://pc.bazos.cz/inzerat/145091202/apple-macbook-pro-13-cz-touch-bar-1tb-orig-baleni.php;152;19990
0;14.12. 2021;Pro;2015;16;512;;False;2.5;https://pc.bazos.cz/inzerat/145750457/apple-macbook-pro-retina-15-mid2015-16gb-amd-r9-zaruka.php;56;20000
0;29.11. 2021;Pro;;;;;False;;https://pc.bazos.cz/inzerat/145104542/legion-phantom-black.php;81;20000
0;12.12. 2021;Pro;2015;16;512;;False;2.5;https://pc.bazos.cz/inzerat/145689395/apple-macbook-pro-retina-15-mid2015-16512-amd-r9-zaruka.php;40;20000
